[ost_a.smc]
FB: top_night; Bright Moonlit Night; Tales of Phantasia; Motoi Sakuraba, Shinji Tamura; Gi Nattak; Talon
FD: iog_womb; In the Earthen Womb; Illusion of Gaia; Yasuhiro Kawasaki; Gi Nattak; Jeff Daily
FE: kq6_bookworm; The Bookworm; King's Quest VI; Chris Braymen; Gi Nattak; Susan Carriere

[ost_b.smc]
01: bof2_counter; Cross Counter; Breath of Fire II; Yuko Takehara; emberling; VGMTrans
02: ff12_power; Lust for Power; Final Fantasy XII; Hayato Matsuo; emberling; VGMTrans
03: top_curtain; Raising a Curtain; Tales of Phantasia; Motoi Sakuraba, Shinji Tamura; emberling; top2mid
05: ffmq_shrine; Shrine of Light; Final Fantasy Mystic Quest; Ryuji Sasai, Yasuhiro Kawakami; emberling; FF5→FF6 MCS2
06: ebrk_bells; The Prayer Bells do not Toll; Energy Breaker; Yasunori Shiono; Gi Nattak; Robert Hansson
07: ps2_mystery; Mystery; Phantasy Star II; Tokuhiko Uwabo; Gi Nattak; Rune Walsh
08: ff9_gargan_roo; Gargan Roo; Final Fantasy IX; Nobuo Uematsu; emberling; VGMTrans
09: ct_chest; Sealed Chest; Chrono Trigger; Yasunori Mitsuda; Gi Nattak; SPC injection
0A: fe_doors; Doors of Destiny; Fire Emblem: Genealogy of the Holy War; Yuka Tsujiyoko; Gi Nattak; Kenji
0B: ff7_town; Mining Town; Final Fantasy VII; Nobuo Uematsu; emberling; gamerip (PC)
0C: totr_city; Underwater City; Treasure of the Rudras; Ryuji Sasai; Gi Nattak; Robert Hansson
0D: tod_fangs; Bared Fangs; Tales of Destiny; Motoi Sakuraba; Gi Nattak; MaliceX
0E: lal_speech; Uranus' Speech; Live A Live; Yoko Shimomura; Gi Nattak; Robert Hansson
0F: swon_chain; Chain of Fate; Sword of Mana; Kenji Ito; Gi Nattak; Black_Wing
10: potc_pirate; He's a Pirate!; Pirate's of the Caribbean; Klaus Badelt, Hans Zimmer; Jackimus; Jackimus
11: wcr2_orc1; Orc 1; Warcraft II; Glenn Stafford; emberling; gamerip
